,tavg,tmin,tmax,prcp,wspd,pres,tsun,mrc
2023-09-01,14.3,9.2,20.3,123.4,11.0,1018.4,,Abitibi
2023-10-01,7.4,4.3,11.1,164.1,13.1,1011.9,,Abitibi
2023-11-01,-4.2,-9.1,-0.2,79.8,13.7,1015.1,,Abitibi
2023-12-01,-6.8,-10.8,-3.0,20.8,11.8,1019.4,,Abitibi
2016-01-01,-4.0,-8.3,0.3,20.5,9.3,1013.2,,Abitibi-Ouest
2016-02-01,2.5,-2.6,7.6,0.5,,,,Abitibi-Ouest
2016-03-01,3.0,-2.8,8.7,31.0,,,,Abitibi-Ouest
2016-04-01,7.9,0.8,15.0,12.6,14.2,,,Abitibi-Ouest
2016-05-01,9.9,2.9,17.1,80.0,12.0,,,Abitibi-Ouest
2016-06-01,14.2,7.0,21.2,23.7,13.4,,,Abitibi-Ouest
2016-07-01,16.1,9.2,22.9,101.5,,,,Abitibi-Ouest
2016-08-01,15.4,7.9,22.9,64.8,10.9,,,Abitibi-Ouest
2016-09-01,11.1,4.8,17.3,55.0,12.0,,,Abitibi-Ouest
2016-10-01,5.0,0.1,9.8,38.8,14.8,1019.3,,Abitibi-Ouest
2016-11-01,0.8,-0.5,4.0,60.2,14.6,,,Abitibi-Ouest
2016-12-01,-12.0,-16.6,-7.3,26.5,13.4,1014.7,,Abitibi-Ouest
2017-01-01,-8.5,-12.8,-4.1,18.3,,,,Abitibi-Ouest
2017-02-01,-12.7,-19.0,-6.3,51.5,13.6,,,Abitibi-Ouest
2017-03-01,-11.6,-18.9,-4.2,55.6,,,,Abitibi-Ouest
2017-04-01,4.6,-1.1,10.1,74.0,15.4,1016.9,,Abitibi-Ouest
2017-05-01,10.8,3.2,18.3,57.6,14.1,,,Abitibi-Ouest
2017-06-01,14.2,7.5,21.0,93.3,,,,Abitibi-Ouest
2017-07-01,18.7,9.0,28.3,20.2,11.2,1014.8,,Abitibi-Ouest
2017-08-01,17.0,8.0,25.9,4.5,,,,Abitibi-Ouest
2017-09-01,13.2,5.1,19.4,40.3,10.8,,,Abitibi-Ouest
2017-10-01,5.0,-0.6,10.5,50.4,9.0,,,Abitibi-Ouest
2017-11-01,-1.7,-5.8,2.5,26.4,,,,Abitibi-Ouest
2017-12-01,-7.9,-13.3,-2.6,47.6,9.0,,,Abitibi-Ouest
2018-01-01,-3.7,-8.2,0.8,8.2,15.2,,,Abitibi-Ouest
2018-02-01,-14.8,-21.9,-5.2,29.6,,,,Abitibi-Ouest
2018-03-01,-3.6,-8.8,1.7,40.5,,,,Abitibi-Ouest
2018-04-01,-3.5,-5.2,2.0,89.0,,,,Abitibi-Ouest
2018-05-01,12.8,5.8,19.8,55.2,14.3,,,Abitibi-Ouest
