,tavg,tmin,tmax,prcp,wspd,pres,tsun,mrc
2023-08-01,18.2,14.3,22.5,179.3,11.5,1011.7,,Drummond
2023-09-01,17.0,12.8,21.7,81.0,9.9,1018.1,,Drummond
2023-10-01,11.7,8.4,15.5,141.7,12.6,1012.2,,Drummond
2023-11-01,0.7,-2.9,4.3,66.0,13.2,1017.5,,Drummond
2023-12-01,-1.8,-5.5,1.6,119.4,11.5,1019.1,,Drummond
2016-01-01,-7.9,-12.3,-3.4,45.0,,,,L'Érable
2016-02-01,-8.5,-12.1,-2.2,119.2,,,,L'Érable
2016-03-01,-3.4,-9.2,2.4,131.2,,,,L'Érable
2016-04-01,1.9,-3.2,8.1,55.6,,,,L'Érable
2016-05-01,12.3,4.4,20.1,83.7,,,,L'Érable
2016-06-01,17.3,11.8,22.9,123.4,7.1,,,L'Érable
2016-07-01,19.0,12.7,24.8,119.2,10.2,1012.7,,L'Érable
2016-08-01,19.4,13.0,25.8,77.1,,,,L'Érable
2016-09-01,15.6,9.9,21.2,40.1,,,,L'Érable
2016-10-01,7.9,3.0,12.8,189.0,,,,L'Érable
2016-11-01,2.6,-0.3,5.6,91.3,,,,L'Érable
2016-12-01,-7.0,-11.2,-2.7,105.2,4.4,,,L'Érable
2017-01-01,-6.8,-10.7,-2.8,82.8,,,,L'Érable
2017-02-01,-6.9,-12.2,-1.6,96.1,8.5,,,L'Érable
2017-03-01,-6.6,-11.5,-1.7,86.0,,,,L'Érable
2017-04-01,5.4,0.4,10.3,170.7,,,,L'Érable
2017-05-01,11.4,6.1,16.7,134.1,,,,L'Érable
2017-06-01,17.6,12.1,23.0,174.0,,,,L'Érable
2017-07-01,19.2,13.6,24.6,88.6,,,,L'Érable
2017-08-01,17.9,11.9,24.0,112.4,,,,L'Érable
2017-09-01,16.8,10.6,23.0,60.6,,,,L'Érable
2017-10-01,11.9,6.2,17.5,151.1,11.4,1017.0,,L'Érable
2017-11-01,-0.2,-4.7,4.4,68.6,,,,L'Érable
2017-12-01,-11.2,-14.8,-7.6,82.6,10.6,1016.5,,L'Érable
2018-01-01,-11.6,-16.7,-6.5,106.4,11.3,1020.1,,L'Érable
2018-02-01,-5.9,-11.3,-0.5,81.0,,,,L'Érable
2018-03-01,-2.0,-6.5,1.8,67.2,,,,L'Érable
2018-04-01,1.5,-2.6,6.2,144.3,,,,L'Érable
2018-05-01,12.7,6.0,20.4,45.1,,,,L'Érable
2018-06-01,16.6,10.5,22.6,111.3,,,,L'Érable
2018-07-01,20.8,15.7,28.0,93.8,,,,L'Érable
2018-08-01,18.6,15.6,26.8,103.7,,,,L'Érable
2018-09-01,14.1,8.9,21.1,67.2,,,,L'Érable
2018-10-01,4.8,1.3,8.9,92.4,,,,L'Érable
2018-11-01,-3.3,-5.7,0.5,146.2,,,,L'Érable
2018-12-01,-8.5,-12.5,-2.4,102.2,,,,L'Érable
2019-01-01,-13.7,-17.6,-7.3,112.2,,,,L'Érable
2019-02-01,-11.1,-16.1,-4.8,71.6,9.4,,,L'Érable
2019-03-01,-5.1,-9.1,1.1,88.2,,,,L'Érable
2019-04-01,4.0,-1.1,7.4,149.7,,,,L'Érable
2019-05-01,9.7,3.0,16.4,114.8,,,,L'Érable
2019-06-01,15.5,9.7,22.6,108.6,9.5,1012.0,,L'Érable
2019-07-01,20.8,15.3,27.5,77.7,8.5,1013.7,,L'Érable
2019-08-01,17.3,12.5,24.6,109.7,7.6,1014.3,,L'Érable
2019-09-01,12.5,7.7,18.5,116.0,,,,L'Érable
2019-10-01,7.6,3.3,13.0,147.5,,,,L'Érable
2019-11-01,-2.8,-5.8,1.1,78.6,,,,L'Érable
2019-12-01,-6.1,-9.4,-1.6,40.9,,,,L'Érable
2020-01-01,-8.8,-11.8,-3.4,112.7,10.3,1019.0,,L'Érable
2020-02-01,-9.8,-13.5,-3.0,49.0,12.6,1015.4,,L'Érable
2020-03-01,-2.3,-6.4,3.0,105.6,,,,L'Érable
2020-04-01,3.1,-2.0,8.4,88.0,13.5,1011.2,,L'Érable
2020-05-01,12.0,5.6,18.1,36.9,15.4,1015.5,,L'Érable
2020-06-01,16.0,12.1,24.8,63.6,9.9,1013.9,,L'Érable
2020-07-01,20.9,16.2,27.6,157.7,9.0,1012.2,,L'Érable
2020-08-01,17.5,13.1,23.8,159.8,8.4,1013.1,,L'Érable
2020-09-01,12.3,7.9,19.1,112.0,9.5,1017.9,,L'Érable
2020-10-01,6.1,2.9,11.8,144.6,9.6,1018.5,,L'Érable
2020-11-01,2.0,-1.3,7.5,68.4,10.5,1017.8,,L'Érable
2020-12-01,-3.9,-7.3,0.1,69.4,11.2,1015.1,,L'Érable
2021-01-01,-8.5,-11.0,-4.5,54.4,9.3,1016.4,,L'Érable
2021-02-01,-11.0,-13.6,-3.6,80.2,10.1,1019.2,,L'Érable
2021-03-01,-2.5,-6.6,3.9,56.6,,,,L'Érable
2021-04-01,6.8,0.7,12.2,43.4,12.5,1012.0,,L'Érable
2021-05-01,11.3,5.6,18.7,38.8,10.2,1016.9,,L'Érable
2021-06-01,18.7,13.8,25.0,95.6,10.8,1012.4,,L'Érable
2021-07-01,17.5,12.7,23.8,76.9,9.0,1014.6,,L'Érable
2021-08-01,21.5,16.4,27.7,45.9,10.0,1015.6,,L'Érable
2021-09-01,15.8,9.9,21.2,96.3,10.8,1013.9,,L'Érable
2021-10-01,10.5,5.3,15.4,84.7,9.9,1015.3,,L'Érable
2021-11-01,0.9,-2.6,4.6,55.9,11.3,1015.8,,L'Érable
2021-12-01,-5.1,-10.5,-1.4,64.8,11.8,1015.0,,L'Érable
2022-01-01,-14.1,-20.8,-8.8,61.7,10.7,1018.3,,L'Érable
2022-02-01,-8.6,-14.7,-3.1,65.8,13.3,1020.4,,L'Érable
2022-03-01,-4.1,-7.1,1.1,135.9,,,,L'Érable
2022-04-01,4.1,-0.2,9.8,105.4,12.6,1014.3,,L'Érable
2022-05-01,13.2,6.3,20.9,107.6,10.6,1016.8,,L'Érable
2022-06-01,16.7,11.3,23.0,125.6,11.0,1012.0,,L'Érable
2022-07-01,19.9,14.9,26.0,145.8,11.9,1010.8,,L'Érable
2022-08-01,19.3,14.8,25.5,120.5,9.7,1014.5,,L'Érable
2022-09-01,14.4,10.2,20.4,92.5,10.6,1014.7,,L'Érable
2022-10-01,9.6,5.0,16.6,75.6,10.7,1017.3,,L'Érable
2022-11-01,2.3,-2.0,6.1,100.5,12.6,1016.8,,L'Érable
2022-12-01,-2.6,-5.8,0.6,110.4,14.2,1018.7,,L'Érable
2023-01-01,-6.2,-10.5,-3.0,89.0,11.8,1016.2,,L'Érable
2023-02-01,-8.1,-14.2,-3.0,82.6,14.0,1015.9,,L'Érable
2023-03-01,-3.1,-9.1,2.9,51.0,,,,L'Érable
2023-04-01,5.6,0.2,11.6,120.0,14.5,1015.9,,L'Érable
2023-05-01,11.7,5.7,17.7,72.3,14.5,1015.1,,L'Érable
2023-06-01,16.6,12.1,21.7,154.6,11.7,1011.6,,L'Érable
2023-07-01,20.9,17.2,25.4,212.9,10.7,1011.3,,L'Érable
2023-08-01,17.6,13.7,22.0,199.0,11.8,1011.5,,L'Érable
2023-09-01,16.7,12.5,21.5,90.7,10.2,1018.0,,L'Érable
2023-10-01,11.5,8.2,15.3,113.0,12.7,1012.0,,L'Érable
2023-11-01,-0.2,-3.7,3.5,69.9,13.4,1017.2,,L'Érable
2023-12-01,-2.9,-6.9,0.9,103.9,12.3,1019.1,,L'Érable
2016-01-01,-7.4,-11.7,-3.0,43.0,14.0,1013.1,,Nicolet-Yamaska
2016-02-01,-7.6,-12.5,-2.7,124.4,,,,Nicolet-Yamaska
2016-03-01,-2.7,-7.2,1.5,117.7,,,,Nicolet-Yamaska
2016-04-01,2.9,-2.2,8.1,49.2,,,,Nicolet-Yamaska
2016-05-01,13.7,7.7,19.7,54.9,,,,Nicolet-Yamaska
2016-06-01,17.8,12.2,23.2,105.6,13.4,1010.1,,Nicolet-Yamaska
2016-07-01,20.5,14.8,24.6,120.1,10.2,1012.7,,Nicolet-Yamaska
2016-08-01,21.1,14.9,25.3,71.0,,,,Nicolet-Yamaska
2016-09-01,15.5,9.4,21.5,,,,,Nicolet-Yamaska
2016-10-01,8.7,4.4,13.1,169.2,,,,Nicolet-Yamaska
2016-11-01,3.3,0.3,6.4,114.6,,,,Nicolet-Yamaska
2016-12-01,-6.1,-10.2,-2.0,84.3,11.9,1015.3,,Nicolet-Yamaska
2017-01-01,-6.8,-10.7,-2.9,80.5,,,,Nicolet-Yamaska
2017-02-01,-7.3,-12.3,-2.3,41.6,11.0,1011.6,,Nicolet-Yamaska
2017-03-01,-6.4,-10.6,-2.1,102.7,,,,Nicolet-Yamaska
2017-04-01,6.0,1.5,10.4,141.1,,,,Nicolet-Yamaska
2017-05-01,12.5,7.6,17.5,110.1,,,,Nicolet-Yamaska
2017-06-01,18.4,13.2,23.6,36.5,,,,Nicolet-Yamaska
2017-07-01,19.6,14.5,24.7,109.1,,,,Nicolet-Yamaska
2017-08-01,18.4,12.9,24.0,54.6,,,,Nicolet-Yamaska
2017-09-01,17.1,11.3,22.8,7.3,,,,Nicolet-Yamaska
2017-10-01,12.3,7.0,17.7,151.1,21.1,1015.3,,Nicolet-Yamaska
2017-11-01,0.3,-3.5,4.1,107.4,,,,Nicolet-Yamaska
2017-12-01,-11.4,-15.5,-7.3,6.6,12.3,1015.8,,Nicolet-Yamaska
2018-01-01,-12.2,-17.3,-7.1,72.3,14.0,1019.7,,Nicolet-Yamaska
2018-02-01,-7.2,-12.6,-1.8,65.4,,,,Nicolet-Yamaska
2018-03-01,,-5.7,2.0,39.4,,,,Nicolet-Yamaska
2018-04-01,2.8,-1.7,6.9,142.5,,,,Nicolet-Yamaska
2018-05-01,14.0,7.2,20.4,39.2,,,,Nicolet-Yamaska
2018-06-01,17.5,11.8,23.4,71.4,,,,Nicolet-Yamaska
2018-07-01,22.0,16.3,28.5,67.5,,,,Nicolet-Yamaska
2018-08-01,21.1,16.0,27.0,34.2,,,,Nicolet-Yamaska
2018-09-01,15.6,10.6,21.1,66.0,,,,Nicolet-Yamaska
2018-10-01,6.2,2.6,9.8,114.7,,,,Nicolet-Yamaska
2018-11-01,-2.0,-4.7,0.8,,8.8,1015.9,,Nicolet-Yamaska
2018-12-01,-7.4,-11.5,-3.4,81.9,9.1,1017.9,,Nicolet-Yamaska
2019-01-01,-12.5,-17.0,-8.1,95.3,,,,Nicolet-Yamaska
2019-02-01,-10.9,-16.5,-5.2,77.8,,,,Nicolet-Yamaska
2019-03-01,-4.8,-9.5,-0.1,62.1,,,,Nicolet-Yamaska
2019-04-01,4.0,0.9,7.1,136.8,,,,Nicolet-Yamaska
2019-05-01,9.7,3.0,16.4,114.8,,,,Nicolet-Yamaska
2019-06-01,17.0,11.7,22.2,95.6,9.0,1011.2,,Nicolet-Yamaska
2019-07-01,21.4,15.7,27.1,88.1,8.0,1012.2,,Nicolet-Yamaska
2019-08-01,19.7,15.4,24.0,109.7,10.8,1012.6,,Nicolet-Yamaska
2019-09-01,14.4,10.3,18.5,116.0,,,,Nicolet-Yamaska
2019-10-01,9.1,5.4,12.7,147.5,,,,Nicolet-Yamaska
2019-11-01,-1.9,-5.2,1.5,48.6,,,,Nicolet-Yamaska
2019-12-01,-6.1,-10.5,-1.8,40.9,,,,Nicolet-Yamaska
2020-01-01,-7.8,-11.7,-3.9,121.2,9.3,1017.9,,Nicolet-Yamaska
2020-02-01,-9.8,-16.9,-2.7,49.0,12.6,1015.4,,Nicolet-Yamaska
2020-03-01,-1.8,-5.7,2.0,106.5,,,,Nicolet-Yamaska
2020-04-01,4.1,-0.4,8.6,81.9,13.3,1010.4,,Nicolet-Yamaska
2020-05-01,12.7,7.2,18.2,25.2,11.8,1014.5,,Nicolet-Yamaska
2020-06-01,18.6,13.6,23.5,45.0,13.6,1013.1,,Nicolet-Yamaska
2020-07-01,22.6,18.4,26.9,128.5,12.5,1011.2,,Nicolet-Yamaska
2020-08-01,19.0,14.0,24.0,196.6,8.0,1012.8,,Nicolet-Yamaska
2020-09-01,13.4,8.0,18.9,100.5,8.3,1017.5,,Nicolet-Yamaska
2020-10-01,7.6,3.0,12.2,110.8,9.1,1018.0,,Nicolet-Yamaska
2020-11-01,2.9,-1.4,7.2,71.2,10.8,1017.3,,Nicolet-Yamaska
2020-12-01,-2.9,-6.4,0.6,88.3,11.6,1014.7,,Nicolet-Yamaska
2021-01-01,-7.2,-10.4,-3.9,36.6,8.9,1016.1,,Nicolet-Yamaska
2021-02-01,-9.8,-15.4,-4.2,286.5,9.3,1018.9,,Nicolet-Yamaska
2021-03-01,-1.9,-7.4,3.4,82.3,,,,Nicolet-Yamaska
2021-04-01,8.1,2.8,13.4,23.3,11.8,1011.8,,Nicolet-Yamaska
2021-05-01,13.2,7.2,19.3,22.2,9.6,1016.6,,Nicolet-Yamaska
2021-06-01,20.0,14.3,25.6,134.0,9.8,1012.0,,Nicolet-Yamaska
2021-07-01,19.0,13.9,24.1,71.7,7.9,1014.2,,Nicolet-Yamaska
2021-08-01,22.8,18.6,27.5,79.9,11.2,1015.3,,Nicolet-Yamaska
2021-09-01,17.0,13.4,21.0,112.6,12.2,1013.7,,Nicolet-Yamaska
2021-10-01,11.2,7.0,15.5,80.0,8.1,1015.4,,Nicolet-Yamaska
2021-11-01,1.7,-2.1,5.5,64.9,9.8,1015.9,,Nicolet-Yamaska
2021-12-01,-5.2,-9.7,-0.6,86.1,11.0,1015.2,,Nicolet-Yamaska
2022-01-01,-15.9,-22.0,-9.8,32.9,8.9,1019.0,,Nicolet-Yamaska
2022-02-01,-9.9,-15.9,-3.8,71.1,11.7,1020.6,,Nicolet-Yamaska
2022-03-01,-3.4,-7.6,0.8,87.2,,,,Nicolet-Yamaska
2022-04-01,4.8,0.6,9.4,86.0,12.6,1014.5,,Nicolet-Yamaska
2022-05-01,14.5,8.5,20.7,99.7,10.5,1016.4,,Nicolet-Yamaska
2022-06-01,17.7,12.8,22.6,110.5,9.7,1012.0,,Nicolet-Yamaska
2022-07-01,20.4,14.8,26.0,68.1,9.3,1010.7,,Nicolet-Yamaska
2022-08-01,19.9,14.8,25.0,152.6,7.6,1014.5,,Nicolet-Yamaska
2022-09-01,14.7,10.0,19.4,164.2,7.8,1014.9,,Nicolet-Yamaska
2022-10-01,9.2,3.2,15.2,40.5,7.5,1017.3,,Nicolet-Yamaska
2022-11-01,3.1,-0.8,6.9,81.1,11.3,1016.9,,Nicolet-Yamaska
2022-12-01,-2.5,-5.8,0.8,97.2,12.7,1018.7,,Nicolet-Yamaska
2023-01-01,-6.0,-9.5,-2.5,55.3,9.4,1016.2,,Nicolet-Yamaska
2023-02-01,-9.3,-15.2,-3.5,64.6,10.9,1016.2,,Nicolet-Yamaska
2023-03-01,-1.6,-5.7,2.4,46.1,,,,Nicolet-Yamaska
2023-04-01,6.5,1.9,11.0,85.5,12.1,1015.8,,Nicolet-Yamaska
2023-05-01,13.0,7.1,18.8,63.7,10.7,1015.2,,Nicolet-Yamaska
2023-06-01,17.8,12.7,22.8,71.3,7.6,1011.4,,Nicolet-Yamaska
2023-07-01,21.7,17.2,26.2,264.0,7.2,1011.2,,Nicolet-Yamaska
2023-08-01,18.7,13.9,23.5,105.6,7.5,1011.7,,Nicolet-Yamaska
2023-09-01,17.1,12.1,22.1,52.2,6.4,1018.2,,Nicolet-Yamaska
2023-10-01,11.9,7.8,15.9,121.5,7.6,1012.0,,Nicolet-Yamaska
2023-11-01,0.9,-2.7,4.5,49.6,10.7,1017.3,,Nicolet-Yamaska
2023-12-01,-2.3,-5.2,0.7,106.3,9.2,1019.1,,Nicolet-Yamaska
2016-01-01,-8.5,-13.4,-3.6,40.0,,,,Beauce-Centre
2016-02-01,-8.1,-14.0,-2.1,135.9,,,,Beauce-Centre
2016-03-01,-3.3,-8.6,2.1,117.0,,,,Beauce-Centre
2016-04-01,1.2,-5.1,7.5,40.0,,,,Beauce-Centre
2016-05-01,11.7,4.7,18.7,70.0,,,,Beauce-Centre
2016-06-01,16.0,9.9,22.1,80.0,,,,Beauce-Centre
2016-07-01,18.7,13.0,24.4,121.0,,,,Beauce-Centre
2016-08-01,18.6,12.6,24.6,181.0,,,,Beauce-Centre
2016-09-01,,7.4,21.3,,,,,Beauce-Centre
2016-10-01,7.2,2.4,12.3,168.7,,,,Beauce-Centre
2016-11-01,2.4,-1.1,5.9,105.0,,,,Beauce-Centre
2016-12-01,-7.9,-12.3,-3.5,112.0,5.7,1014.5,,Beauce-Centre
2017-01-01,-7.4,-12.0,-2.8,96.1,,,,Beauce-Centre
2017-02-01,-7.3,-13.1,-1.5,84.1,,,,Beauce-Centre
2017-03-01,-6.9,-12.3,-1.4,111.7,,,,Beauce-Centre
2017-04-01,5.6,0.8,10.5,125.8,,,,Beauce-Centre
2017-05-01,10.7,4.9,16.5,102.1,,,,Beauce-Centre
2017-06-01,16.1,10.1,22.1,78.0,,,,Beauce-Centre
2017-07-01,18.2,12.0,23.9,123.4,,,,Beauce-Centre
2017-08-01,16.8,10.6,22.9,113.8,,,,Beauce-Centre
2017-09-01,15.7,9.2,22.1,67.0,,,,Beauce-Centre
2017-10-01,10.3,3.9,16.8,215.6,6.9,,,Beauce-Centre
2017-11-01,-1.1,-6.2,4.1,75.0,,,,Beauce-Centre
2017-12-01,-10.6,-14.7,-6.7,71.8,,,,Beauce-Centre
2018-01-01,-11.8,-17.2,-6.3,106.1,,1018.2,,Beauce-Centre
2018-02-01,-6.6,-12.6,-0.5,77.6,,,,Beauce-Centre
2018-03-01,,-6.8,1.9,40.6,,,,Beauce-Centre
2018-04-01,1.4,-3.5,6.4,162.7,,,,Beauce-Centre
2018-05-01,11.9,3.9,19.9,60.1,,,,Beauce-Centre
2018-06-01,14.9,8.3,21.5,73.0,,,,Beauce-Centre
2018-07-01,20.4,13.9,26.8,129.4,,,,Beauce-Centre
2018-08-01,19.7,13.6,25.7,,,,,Beauce-Centre
2018-09-01,14.0,7.7,20.3,88.0,,,,Beauce-Centre
2018-10-01,,1.6,8.9,102.4,,,,Beauce-Centre
2018-11-01,-2.9,-6.0,0.3,118.0,,,,Beauce-Centre
2018-12-01,-7.8,-13.0,-2.6,100.5,5.8,1016.8,,Beauce-Centre
2019-01-01,-12.8,-18.3,-7.3,127.0,,,,Beauce-Centre
2019-02-01,-11.3,-17.2,-5.3,65.1,,,,Beauce-Centre
2019-03-01,-5.4,-11.6,0.7,57.1,,,,Beauce-Centre
2019-04-01,2.7,-1.5,6.9,154.5,,,,Beauce-Centre
2019-05-01,8.8,2.7,14.9,,,,,Beauce-Centre
2019-06-01,15.3,8.3,22.2,126.7,6.5,1011.6,,Beauce-Centre
2019-07-01,19.9,13.1,26.7,65.2,5.4,1012.8,,Beauce-Centre
2019-08-01,17.4,11.1,23.8,113.3,5.3,1013.6,,Beauce-Centre
2019-09-01,,7.7,18.1,142.8,,,,Beauce-Centre
2019-10-01,7.2,1.6,12.8,136.2,,,,Beauce-Centre
2019-11-01,-3.3,-7.3,0.7,105.8,,,,Beauce-Centre
2019-12-01,-6.3,-10.8,-1.9,46.1,,,,Beauce-Centre
2020-01-01,,-11.4,-3.0,74.0,,,,Beauce-Centre
2020-02-01,-8.6,-14.8,-2.4,63.6,6.4,1014.3,,Beauce-Centre
2020-03-01,-2.5,-7.9,2.9,92.5,,,,Beauce-Centre
2020-04-01,2.8,-2.7,8.2,58.0,8.9,1010.2,,Beauce-Centre
2020-05-01,10.8,4.2,17.5,66.2,7.3,1013.9,,Beauce-Centre
2020-06-01,17.0,10.0,24.0,37.0,6.3,1013.6,,Beauce-Centre
2020-07-01,,14.9,27.0,142.0,,,,Beauce-Centre
2020-08-01,17.5,11.6,23.4,90.7,5.4,1012.4,,Beauce-Centre
2020-09-01,12.6,5.6,19.5,39.8,5.7,1017.3,,Beauce-Centre
2020-10-01,6.4,1.3,11.5,143.6,6.2,1017.8,,Beauce-Centre
2020-11-01,2.0,-3.4,7.4,63.7,6.3,1017.2,,Beauce-Centre
2020-12-01,-4.1,-8.0,-0.2,69.6,6.4,1014.2,,Beauce-Centre
2021-01-01,-8.4,-12.3,-4.5,27.0,4.6,1014.9,,Beauce-Centre
2021-02-01,-9.4,-15.2,-3.6,68.4,5.6,1018.1,,Beauce-Centre
2021-03-01,-2.3,-8.8,4.2,60.8,,,,Beauce-Centre
2021-04-01,5.8,-0.1,11.8,68.1,6.9,1010.8,,Beauce-Centre
2021-05-01,11.0,4.0,18.1,74.7,6.1,1015.8,,Beauce-Centre
2021-06-01,18.1,11.8,24.4,97.1,5.0,1011.8,,Beauce-Centre
2021-07-01,17.4,11.6,23.1,45.2,5.2,1014.0,,Beauce-Centre
2021-08-01,20.8,14.6,27.0,43.0,4.3,1015.6,,Beauce-Centre
2021-09-01,14.4,8.1,20.8,91.5,5.0,1014.0,,Beauce-Centre
2021-10-01,9.5,4.0,15.0,47.8,5.0,1015.3,,Beauce-Centre
2021-11-01,0.2,-4.0,4.4,81.4,4.4,1015.3,,Beauce-Centre
2021-12-01,-5.9,-10.9,-1.0,81.1,5.5,1014.7,,Beauce-Centre
2022-01-01,-15.2,-22.0,-8.3,41.5,4.9,1017.8,,Beauce-Centre
2022-02-01,-9.7,-16.1,-3.3,115.4,6.5,1020.0,,Beauce-Centre
2022-03-01,-3.1,-8.0,1.8,96.2,,,,Beauce-Centre
2022-04-01,4.2,-1.1,9.5,97.9,7.5,1013.7,,Beauce-Centre
2022-05-01,12.7,5.0,20.4,116.4,5.9,1016.2,,Beauce-Centre
2022-06-01,15.8,9.4,22.3,123.7,5.4,1012.0,,Beauce-Centre
2022-07-01,19.3,13.0,25.6,121.5,4.8,1010.5,,Beauce-Centre
2022-08-01,18.6,12.8,24.4,166.9,4.4,1014.4,,Beauce-Centre
2022-09-01,13.2,7.6,18.8,60.8,5.0,1014.5,,Beauce-Centre
2022-10-01,8.6,1.5,15.7,39.1,4.9,1017.6,,Beauce-Centre
2022-11-01,1.2,-3.6,6.0,102.6,5.1,1016.6,,Beauce-Centre
2022-12-01,-3.5,-7.1,0.2,78.8,6.3,1018.4,,Beauce-Centre
2023-01-01,-6.6,-10.6,-2.5,120.2,4.9,1014.9,,Beauce-Centre
2023-02-01,-9.5,-15.8,-3.1,68.1,6.5,1015.1,,Beauce-Centre
2023-03-01,-2.5,-7.4,2.4,51.9,,,,Beauce-Centre
2023-04-01,5.6,-0.3,11.5,56.6,8.0,1015.8,,Beauce-Centre
2023-05-01,10.8,3.3,18.3,37.9,6.8,1014.7,,Beauce-Centre
2023-06-01,16.1,10.9,21.2,104.8,5.9,1011.7,,Beauce-Centre
2023-07-01,20.7,15.4,26.0,171.3,4.5,1011.9,,Beauce-Centre
2023-08-01,16.8,11.4,22.1,131.5,4.9,1012.0,,Beauce-Centre
2023-09-01,15.7,10.0,21.4,110.9,3.9,1018.3,,Beauce-Centre
2023-10-01,10.7,6.0,15.4,78.4,5.2,1012.0,,Beauce-Centre
2023-11-01,-0.8,-5.0,3.3,61.8,5.1,1016.4,,Beauce-Centre
2023-12-01,-3.3,-7.1,0.6,79.0,4.6,1018.3,,Beauce-Centre
2016-01-01,-8.5,-13.4,-3.6,36.6,,,,Beauce-Sartigan
2016-02-01,-8.1,-14.0,-2.1,135.9,,,,Beauce-Sartigan
2016-03-01,-3.3,-8.6,2.1,89.2,,,,Beauce-Sartigan
2016-04-01,1.2,-5.1,7.5,40.0,,,,Beauce-Sartigan
2016-05-01,11.7,4.7,18.7,70.0,,,,Beauce-Sartigan
2016-06-01,16.0,9.9,22.1,79.0,,,,Beauce-Sartigan
2016-07-01,18.7,12.6,24.4,123.2,,,,Beauce-Sartigan
2016-08-01,18.6,12.6,24.6,181.0,,,,Beauce-Sartigan
2016-09-01,,7.4,21.3,,,,,Beauce-Sartigan
2016-10-01,7.5,2.2,12.8,168.7,,,,Beauce-Sartigan
2016-11-01,2.5,-0.9,5.9,84.0,,,,Beauce-Sartigan
2016-12-01,-7.3,-11.4,-3.1,79.0,5.7,1014.5,,Beauce-Sartigan
2017-01-01,-7.1,-11.6,-2.5,96.1,,,,Beauce-Sartigan
2017-02-01,-7.0,-13.1,-0.9,84.1,,,,Beauce-Sartigan
2017-03-01,-6.3,-11.6,-1.0,73.0,,,,Beauce-Sartigan
2017-04-01,5.6,0.8,10.5,125.8,,,,Beauce-Sartigan
2017-05-01,10.7,5.1,16.3,102.1,,,,Beauce-Sartigan
2017-06-01,16.1,10.3,21.8,78.0,,,,Beauce-Sartigan
2017-07-01,18.2,12.4,23.9,123.4,,,,Beauce-Sartigan
2017-08-01,17.0,10.8,23.3,113.8,,,,Beauce-Sartigan
2017-09-01,15.9,9.2,22.6,67.0,,,,Beauce-Sartigan
2017-10-01,10.7,4.4,17.0,202.2,6.9,,,Beauce-Sartigan
2017-11-01,-0.5,-5.0,4.0,78.4,,,,Beauce-Sartigan
2017-12-01,-10.6,-14.6,-6.7,71.8,,,,Beauce-Sartigan
2018-01-01,-11.5,-16.4,-6.5,77.4,,1018.2,,Beauce-Sartigan
2018-02-01,-6.6,-12.6,-0.5,77.6,,,,Beauce-Sartigan
2018-03-01,,-6.3,1.9,40.6,,,,Beauce-Sartigan
2018-04-01,1.4,-3.1,6.2,162.7,,,,Beauce-Sartigan
2018-05-01,11.9,4.3,19.6,60.1,,,,Beauce-Sartigan
2018-06-01,14.9,8.5,20.9,88.4,,,,Beauce-Sartigan
2018-07-01,20.4,13.8,26.8,129.4,,,,Beauce-Sartigan
2018-08-01,19.7,14.2,26.5,,,,,Beauce-Sartigan
2018-09-01,14.0,8.7,20.8,87.6,,,,Beauce-Sartigan
2018-10-01,,1.6,8.9,102.4,,,,Beauce-Sartigan
2018-11-01,-2.9,-5.5,0.7,118.0,,,,Beauce-Sartigan
2018-12-01,-7.8,-12.3,-2.5,76.2,5.8,1016.8,,Beauce-Sartigan
2019-01-01,-12.8,-18.1,-7.0,87.0,,,,Beauce-Sartigan
2019-02-01,-11.3,-16.7,-4.4,47.8,,,,Beauce-Sartigan
2019-03-01,-5.4,-11.5,1.0,57.1,,,,Beauce-Sartigan
2019-04-01,2.7,-1.5,7.2,154.5,,,,Beauce-Sartigan
2019-05-01,8.8,2.7,14.9,,,,,Beauce-Sartigan
2019-06-01,15.3,8.9,22.5,126.7,6.5,1011.6,,Beauce-Sartigan
2019-07-01,19.9,13.4,26.9,65.2,5.4,1012.8,,Beauce-Sartigan
2019-08-01,17.4,11.6,24.1,113.3,5.3,1013.6,,Beauce-Sartigan
2019-09-01,,7.7,18.1,142.8,,,,Beauce-Sartigan
2019-10-01,7.2,2.2,12.9,136.2,,,,Beauce-Sartigan
2019-11-01,-3.3,-6.2,0.6,63.0,,,,Beauce-Sartigan
2019-12-01,-6.3,-10.1,-1.7,26.6,,,,Beauce-Sartigan
2020-01-01,,-11.4,-3.0,74.0,,,,Beauce-Sartigan
2020-02-01,-8.6,-15.0,-2.6,63.6,6.4,1014.3,,Beauce-Sartigan
2020-03-01,-2.5,-7.1,3.2,92.5,,,,Beauce-Sartigan
2020-04-01,2.8,-2.0,8.3,58.0,8.9,1010.2,,Beauce-Sartigan
2020-05-01,10.8,4.4,17.5,66.2,7.3,1013.9,,Beauce-Sartigan
2020-06-01,17.0,10.2,24.0,52.8,6.3,1013.6,,Beauce-Sartigan
2020-07-01,,14.9,27.0,142.0,,,,Beauce-Sartigan
2020-08-01,17.5,12.1,23.3,112.2,5.4,1012.4,,Beauce-Sartigan
2020-09-01,12.6,6.3,19.4,32.4,5.7,1017.3,,Beauce-Sartigan
2020-10-01,6.4,1.9,11.5,143.6,6.2,1017.8,,Beauce-Sartigan
2020-11-01,2.0,-2.7,7.1,70.8,6.3,1017.2,,Beauce-Sartigan
