MRC,SECTOR,month_rmse,month_mape
La Mitis,COMMERCIAL,221784.1608583889,0.04683591586630317
La Côte-de-Gaspé,AGRICOLE,6881.868891898205,0.05207998926208429
La Haute-Gaspésie,RÉSIDENTIEL,1087626.15092301,0.12998854166084653
La Rivière-du-Nord,INSTITUTIONNEL,325993.78790613735,0.03972706325057842
La Rivière-du-Nord,RÉSIDENTIEL,12821171.284204382,0.11559641669214211
Les Laurentides,AGRICOLE,115688.74692268527,0.1010497969442588
Les Maskoutains,INSTITUTIONNEL,435055.3183021449,0.03380752147983752
Les Maskoutains,INDUSTRIEL,774857.2522932253,0.026703343470578383
Les Maskoutains,COMMERCIAL,1254781.1806970949,0.029327556079451405
Les Maskoutains,AGRICOLE,447449.35033317155,0.04116323236966945
Les Jardins-de-Napierville,RÉSIDENTIEL,2237804.2291743215,0.0897720401946553
Les Jardins-de-Napierville,INSTITUTIONNEL,124713.6674750201,0.09213467556093485
Les Jardins-de-Napierville,INDUSTRIEL,228224.27887257133,0.05630004161075575
Les Jardins-de-Napierville,COMMERCIAL,419521.8984957242,0.03902663736911268
Les Jardins-de-Napierville,AGRICOLE,599660.0510652716,0.047111163743219525
Les Maskoutains,RÉSIDENTIEL,6136007.899730754,0.1070448882937815
Le Haut-Saint-Laurent,RÉSIDENTIEL,2258238.8899656422,0.1140155218934266
Le Haut-Saint-Laurent,INDUSTRIEL,198569.3138059519,0.06209971697862526
Le Haut-Saint-Laurent,COMMERCIAL,299569.6949012949,0.043006881079040236
Le Haut-Saint-Laurent,AGRICOLE,297033.1403730283,0.06845609148502128
Le Haut-Richelieu,RÉSIDENTIEL,8618973.109589428,0.08897840639326927
Le Haut-Richelieu,INSTITUTIONNEL,504424.5372493907,0.0379191497383698
Le Haut-Richelieu,INDUSTRIEL,1467299.8541205614,0.10397788603592671
Le Haut-Richelieu,COMMERCIAL,944966.4233494007,0.022872571426387267
Le Haut-Richelieu,AGRICOLE,342526.3014778378,0.07280071204053715
La Vallée-du-Richelieu,RÉSIDENTIEL,9655546.823700236,0.09162000780585262
Le Haut-Saint-Laurent,INSTITUTIONNEL,117605.7899149769,0.05202743342599911
La Vallée-du-Richelieu,INSTITUTIONNEL,559310.7359875899,0.09258700877542388
