MRC,SECTOR,mean_temp__month_rmse,mean_temp__month_mape
Thérèse-De Blainville,COMMERCIAL,,
Thérèse-De Blainville,AGRICOLE,,
Les Pays-d'en-Haut,RÉSIDENTIEL,,
Les Pays-d'en-Haut,INSTITUTIONNEL,,
La Vallée-de-l'Or,AGRICOLE,,
Les Chenaux,COMMERCIAL,,
La Vallée-de-l'Or,COMMERCIAL,,
La Vallée-de-l'Or,INSTITUTIONNEL,,
La Vallée-de-l'Or,RÉSIDENTIEL,,
Les Pays-d'en-Haut,INDUSTRIEL,,
Les Pays-d'en-Haut,COMMERCIAL,,
Les Pays-d'en-Haut,AGRICOLE,,
Les Laurentides,RÉSIDENTIEL,,
Les Laurentides,INSTITUTIONNEL,,
Les Laurentides,INDUSTRIEL,,
Les Laurentides,COMMERCIAL,,
La Vallée-de-l'Or,INDUSTRIEL,,
La Vallée-du-Richelieu,COMMERCIAL,,
Les Chenaux,INDUSTRIEL,,
Les Chenaux,RÉSIDENTIEL,,
Beauharnois-Salaberry,RÉSIDENTIEL,,
Beauharnois-Salaberry,INSTITUTIONNEL,,
Beauharnois-Salaberry,INDUSTRIEL,,
Beauharnois-Salaberry,COMMERCIAL,,
Beauharnois-Salaberry,AGRICOLE,,
Acton,RÉSIDENTIEL,,
Acton,INSTITUTIONNEL,,
Acton,INDUSTRIEL,,
Acton,COMMERCIAL,,
Les Chenaux,INSTITUTIONNEL,,
Acton,AGRICOLE,,
Mékinac,INSTITUTIONNEL,,
Mékinac,INDUSTRIEL,,
Mékinac,COMMERCIAL,,
Mékinac,AGRICOLE,,
Maskinongé,RÉSIDENTIEL,,
Maskinongé,INSTITUTIONNEL,,
Maskinongé,INDUSTRIEL,,
Maskinongé,COMMERCIAL,,
Maskinongé,AGRICOLE,,
Mékinac,RÉSIDENTIEL,,
Le Haut-Saint-François,RÉSIDENTIEL,,
Le Haut-Saint-François,INSTITUTIONNEL,,
Le Haut-Saint-François,INDUSTRIEL,,
Bécancour,RÉSIDENTIEL,,
Bécancour,INSTITUTIONNEL,,
Bécancour,INDUSTRIEL,,
Bécancour,COMMERCIAL,,
Bécancour,AGRICOLE,,
Arthabaska,RÉSIDENTIEL,,
Arthabaska,INSTITUTIONNEL,,
Arthabaska,INDUSTRIEL,,
Arthabaska,COMMERCIAL,,
Drummond,AGRICOLE,372701.7511680865,0.04679513552757044
Arthabaska,AGRICOLE,,
Portneuf,INSTITUTIONNEL,,
Portneuf,INDUSTRIEL,,
Portneuf,COMMERCIAL,,
Portneuf,AGRICOLE,,
La Jacques-Cartier,RÉSIDENTIEL,,
La Jacques-Cartier,INSTITUTIONNEL,,
La Jacques-Cartier,INDUSTRIEL,,
La Jacques-Cartier,COMMERCIAL,,
La Jacques-Cartier,AGRICOLE,,
Portneuf,RÉSIDENTIEL,,
La Côte-de-Beaupré,RÉSIDENTIEL,,
Drummond,COMMERCIAL,3539539.2268409175,0.10350173882832049
Drummond,INSTITUTIONNEL,203937.78043265804,0.02604692348737475
Beauce-Centre,INSTITUTIONNEL,,
La Matanie,AGRICOLE,,
La Matanie,COMMERCIAL,,
La Matanie,INDUSTRIEL,,
La Matanie,INSTITUTIONNEL,,
La Matanie,RÉSIDENTIEL,,
Beauce-Centre,INDUSTRIEL,,
Beauce-Centre,COMMERCIAL,,
Beauce-Centre,AGRICOLE,,
Drummond,INDUSTRIEL,890411.2480965782,0.026746394318477886
Nicolet-Yamaska,RÉSIDENTIEL,,
Nicolet-Yamaska,INDUSTRIEL,,
Nicolet-Yamaska,COMMERCIAL,,
Nicolet-Yamaska,AGRICOLE,,
L'Érable,RÉSIDENTIEL,,
L'Érable,INSTITUTIONNEL,,
L'Érable,INDUSTRIEL,,
L'Érable,COMMERCIAL,,
L'Érable,AGRICOLE,,
Drummond,RÉSIDENTIEL,10603160.334084952,0.16128006031308847
Nicolet-Yamaska,INSTITUTIONNEL,,
Beauce-Centre,RÉSIDENTIEL,,
La Côte-de-Beaupré,INSTITUTIONNEL,,
La Côte-de-Beaupré,COMMERCIAL,,
La Matapédia,INSTITUTIONNEL,,
La Matapédia,RÉSIDENTIEL,,
Rivière-du-Loup,RÉSIDENTIEL,,
Rivière-du-Loup,INSTITUTIONNEL,,
Rivière-du-Loup,INDUSTRIEL,,
Rivière-du-Loup,COMMERCIAL,,
Rivière-du-Loup,AGRICOLE,,
Rimouski-Neigette,RÉSIDENTIEL,,
Rimouski-Neigette,INSTITUTIONNEL,,
La Matapédia,INDUSTRIEL,,
Rimouski-Neigette,INDUSTRIEL,,
Rimouski-Neigette,AGRICOLE,,
Les Basques,RÉSIDENTIEL,,
Les Basques,INSTITUTIONNEL,,
Les Basques,INDUSTRIEL,,
Les Basques,COMMERCIAL,,
Les Basques,AGRICOLE,,
La Mitis,RÉSIDENTIEL,,
La Mitis,INSTITUTIONNEL,,
La Mitis,INDUSTRIEL,,
Rimouski-Neigette,COMMERCIAL,,
La Côte-de-Beaupré,INDUSTRIEL,,
La Matapédia,COMMERCIAL,,
Témiscouata,AGRICOLE,,
