mrc,sector,date,total_kwh,tavg,sector_mrc
Les Sources,COMMERCIAL,2016-01-01,4045778.0,-6.9,COMMERCIALLes Sources
Les Sources,AGRICOLE,2016-01-01,4288212.0,-6.9,AGRICOLELes Sources
Le Val-Saint-François,RÉSIDENTIEL,2016-01-01,28916581.0,-6.9,RÉSIDENTIELLe Val-Saint-François
Le Val-Saint-François,INSTITUTIONNEL,2016-01-01,1842816.0,-6.9,INSTITUTIONNELLe Val-Saint-François
Le Val-Saint-François,INDUSTRIEL,2016-01-01,62699597.2,-6.9,INDUSTRIELLe Val-Saint-François
Le Val-Saint-François,COMMERCIAL,2016-01-01,7101325.0,-6.9,COMMERCIALLe Val-Saint-François
Memphrémagog,AGRICOLE,2016-01-01,1402660.0,-6.9,AGRICOLEMemphrémagog
La Rivière-du-Nord,INDUSTRIEL,2016-01-01,15912058.6,-6.9,INDUSTRIELLa Rivière-du-Nord
Bonaventure,INDUSTRIEL,2016-01-01,791778.0,-6.9,INDUSTRIELBonaventure
Bonaventure,RÉSIDENTIEL,2016-01-01,20552681.0,-6.9,RÉSIDENTIELBonaventure
Le Rocher-Percé,RÉSIDENTIEL,2016-01-01,24274483.0,-6.9,RÉSIDENTIELLe Rocher-Percé
Le Rocher-Percé,INSTITUTIONNEL,2016-01-01,2858079.0,-6.9,INSTITUTIONNELLe Rocher-Percé
Le Rocher-Percé,INDUSTRIEL,2016-01-01,885520.0,-6.9,INDUSTRIELLe Rocher-Percé
Le Rocher-Percé,COMMERCIAL,2016-01-01,6906219.0,-6.9,COMMERCIALLe Rocher-Percé
Le Rocher-Percé,AGRICOLE,2016-01-01,211728.0,-6.9,AGRICOLELe Rocher-Percé
Témiscamingue,AGRICOLE,2016-01-01,1384608.0,-6.9,AGRICOLETémiscamingue
Témiscamingue,COMMERCIAL,2016-01-01,5627824.0,-6.9,COMMERCIALTémiscamingue
Témiscamingue,INDUSTRIEL,2016-01-01,80694612.09155506,-6.9,INDUSTRIELTémiscamingue
Témiscamingue,INSTITUTIONNEL,2016-01-01,3106228.0,-6.9,INSTITUTIONNELTémiscamingue
Bonaventure,INSTITUTIONNEL,2016-01-01,2675912.0,-6.9,INSTITUTIONNELBonaventure
Témiscamingue,RÉSIDENTIEL,2016-01-01,19445801.0,-6.9,RÉSIDENTIELTémiscamingue
